TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2422413,DB0239,DB0239-1,3158890,3186810,2.8144,2.8144,27.92,11.443,5/3/2017 17:40:39,5/3/2017 20:29:31
2484139,AL597,AL597-1,6896430,6916290,21.3617,3.8506,19.86,9.16,5/19/2017 11:38:58,5/20/2017 9:00:40
2727041,REE096,REE096-2,1603170,1621570,8.3544,2.0536,18.4,10.56,9/30/2017 0:01:47,9/30/2017 8:23:03
2621462,AL287,AL287-2,1390810,1419380,18.9494,3,28.57,10.16,7/23/2017 13:18:07,7/24/2017 8:15:05
2462139,AL251,AL251-1,441350,460339,1.8789,1.8775,18.989,10.267,5/13/2017 15:10:09,5/13/2017 17:02:53
2368426,REE075,REE075-1,437750,450500,3.6508,2.1536,12.75,9,4/19/2017 15:50:47,4/19/2017 19:29:50
2714657,AL465,AL465-1,804400,823690,1.8822,1.8819,19.29,10.535,9/22/2017 6:52:46,9/22/2017 8:45:42
2246880,AL808,AL808-1,1834689,1863979,3.1797,3.1797,29.29,11.32,3/22/2017 11:02:06,3/22/2017 14:12:53
2859317,AL201,AL201-1,1505660,1510959,0.6486,0.6483,5.299,9.96,12/24/2017 10:00:46,12/24/2017 10:39:41
2726959,REE589,REE589-1,8322080,8329650,2.1694,0.8219,7.57,11.16,9/29/2017 19:40:40,9/29/2017 21:50:50
2538392,DB0051,DB0051-2,901580,907850,0.6603,0.6603,6.27,9.64,6/8/2017 6:06:01,6/8/2017 6:45:38
2458377,EV0172,EV0172-1,7191460,7203250,1.0742,1.0742,11.79,11.052,5/12/2017 19:10:10,5/12/2017 20:14:37
2322784,EV0184,EV0184-1,11089540,11116510,2.4356,2.4356,26.97,11.172,4/8/2017 17:48:18,4/8/2017 20:14:26
2116984,AL835,AL835-2,252179,313809,11.7494,7.2494,61.63,10.6,2/12/2017 19:21:07,2/13/2017 7:06:05
2121446,DB0200,DB0200-2,494550,496840,0.2467,0.2467,2.29,9.296,2/14/2017 12:40:20,2/14/2017 12:55:08
2643852,AL250,AL250-1,593369,606950,1.3647,1.3639,13.581,10.04,8/6/2017 16:40:47,8/6/2017 18:02:40
2714942,REE302,REE302-2,274720448,274746432,5.48,2.6828,25.984,10.752,6/26/2017 9:34:02,6/26/2017 15:02:50
2706615,AL507,AL507-2,767380,819080,20.4178,5.25,51.7,10.24,9/17/2017 9:54:21,9/18/2017 6:19:25
2001609,DB0114,DB0114-2,17380,25310,0.8725,0.7539,7.93,11.138,1/4/2017 13:56:15,1/4/2017 14:48:36
2649784,AL889,AL889-1,2669649,2682370,1.4033,1.4028,12.721,12,8/10/2017 10:18:08,8/10/2017 11:42:20
